ID_SETA	Mes_1	SETA_dist	ID_Alimentador	FC	Valor_Inst	Pmax	D_Instantanea	D.Int_PU	D.Int_Ajustada_1	FP
2985	1651.0	DE LOS RIOS	332	0.8649202547441315	0.9486914290853492	2.6511756927624592	2.5151476567231583	0.0014670506293300656	3.095036712697639	0.905
433	4316.0	DE LOS RIOS	332	0.8649202547441315	0.9486914290853492	6.930632519662492	6.575031669544004	0.0038351244798234783	8.090962115083592	0.905
2299	14980.09	DE LOS RIOS	332	0.8649202547441315	0.9486914290853492	24.055027548996964	22.820798462145376	0.013311054186505767	28.082331017271212	0.905
2109	3847.0	DE LOS RIOS	332	0.8649202547441315	0.9486914290853492	6.177512350125488	5.860553019632943	0.0034183790254589713	7.211754230010791	0.905
1032	68818.56	DE LOS RIOS	332	0.8649202547441315	0.9486914290853492	110.50883917802233	104.83878856636103	0.06115100651580186	129.01027844638716	0.905
2171	9217.0	DE LOS RIOS	332	0.8649202547441315	0.9486914290853492	14.800658001327431	14.041257390682828	0.008190070048779656	17.278590781910438	0.905
2995	2051.0	DE LOS RIOS	332	0.8649202547441315	0.9486914290853492	3.293495666781226	3.124511110805086	0.001822483852668664	3.84489418397508	0.905
2974	1065.0	SANTA ROSA	333	0.7273166225796748	1.0	2.033731418677468	2.033731418677468	0.0006822472681778392	2.390338584969582	0.942
2064	7877.33	SANTA ROSA	333	0.7273166225796748	1.0	15.042604240648432	15.042604240648432	0.005046278754023792	17.680268399566607	0.942
1984	1621.0	SANTA ROSA	333	0.7273166225796748	1.0	3.0954728917147194	3.0954728917147194	0.0010384251847101198	3.638252437779993	0.942
1649	437.0	SANTA ROSA	333	0.7273166225796748	1.0	0.834498244095825	0.834498244095825	0.0002799455926701556	0.980824377118974	0.942
1678	237.0	SANTA ROSA	333	0.7273166225796748	1.0	0.4525768509169577	0.4525768509169577	0.00015182403996070226	0.5319345020073154	0.942
531	844.0	SANTA ROSA	333	0.7273166225796748	1.0	1.6117082792148199	1.6117082792148199	0.0005406729524338932	1.8943152729711992	0.942
3006	41668.0	CAUCETE CENTRO	335	0.7767774573976227	0.9810702530860186	74.50296307015275	73.09264083489305	0.02323095753788736	77.13955605243187	0.920
3026	8789.69	CAUCETE CENTRO	335	0.7767774573976227	0.9810702530860186	15.716087872422264	15.418586306519417	0.004900473148727876	16.27226611400835	0.920
6005	45363.2	COOPERATIVA	334	0.7253248844625255	0.9087581234392252	86.86375690961091	78.93814472405904	0.025690028035663413	78.76305695454046	0.919
2996	31146.0	SANTA ROSA	333	0.7273166225796748	1.0	59.476618559745	59.476618559745	0.019952369403443176	69.9056202511386	0.942
7	97453.0	URBANO	334	0.7253248844625255	0.9087581234392252	186.60794878033985	169.5814893524647	0	169.5814893524647	0.919
6	90646.0	URBANO	334	0.7253248844625255	0.9087581234392252	173.57355982004339	157.73638250072872	0	157.73638250072872	0.919
94	32141.0	SANTA ROSA	333	0.7273166225796748	1.0	61.37667749080987	61.37667749080987	0.020589774128172707	72.1388473798191	0.942
2954	56535.0	SANTA ROSA	333	0.7273166225796748	1.0	107.95962981683631	107.95962981683631	0.036216759912144736	126.8899454471881	0.942
2798	60410.0	SANTA ROSA	333	0.7273166225796748	1.0	115.35935680967685	115.35935680967685	0.03869911499589039	135.58718677747646	0.942
15	71718.0	URBANO	334	0.7253248844625255	0.9087581234392252	137.32926508807748	124.79908523472919	0	124.79908523472919	0.919
76	78155.0	URBANO	334	0.7253248844625255	0.9087581234392252	149.65515927603525	136.00034170668815	0	136.00034170668815	0.919
