tension	ID_Bus	Coord_X	Coord_Y	modelo	estado
13,2 kV	710.0	2649571.668258348	6527114.20856799	NULL	NULL
13,2 kV	711.0	2649555.1002313853	6527509.300965829	NULL	NULL
13,2 kV	712.0	2649284.9702514256	6527796.027741898	NULL	NULL
13,2 kV	713.0	2649029.8102281275	6528012.010807735	NULL	NULL
13,2 kV	714.0	2647941.5653710696	6528392.474904635	NULL	NULL
13,2 kV	715.0	2647295.530979505	6528368.274851582	NULL	NULL
13,2 kV	716.0	2644911.583858341	6529692.068047559	NULL	NULL
13,2 kV	717.0	2643393.9453721214	6531355.423251196	NULL	NULL
13,2 kV	718.0	2643176.2136459225	6531739.170486176	NULL	NULL
13,2 kV	719.0	2642919.856841693	6532072.69076073	NULL	NULL
13,2 kV	720.0	2642660.3815710656	6532410.247390829	NULL	NULL
13,2 kV	721.0	2642352.869366817	6533007.389372582	NULL	NULL
13,2 kV	722.0	2641998.794474325	6533436.380735645	NULL	NULL
13,2 kV	723.0	2641413.5055717616	6534087.549026959	NULL	NULL
13,2 kV	724.0	2641004.7940703984	6534653.233994688	NULL	NULL
13,2 kV	725.0	2640751.1570022884	6535056.461832467	NULL	NULL
13,2 kV	726.0	2640549.8255133927	6535926.134061838	NULL	NULL
13,2 kV	727.0	2640171.576421771	6536918.035898864	NULL	NULL
13,2 kV	728.0	2639880.463787109	6537277.353410419	NULL	NULL
13,2 kV	729.0	2639517.7710751863	6537738.301535176	NULL	NULL
13,2 kV	730.0	2640786.058266624	6539565.09448094	NULL	NULL
13,2 kV	731.0	2640839.1244130568	6539694.205796404	NULL	NULL
13,2 kV	732.0	2640858.818482511	6539809.558489236	NULL	NULL
13,2 kV	733.0	2640922.959448832	6539840.185309246	NULL	NULL
13,2 kV	734.0	2641004.808757198	6539959.409852296	NULL	NULL
13,2 kV	735.0	2641173.812207616	6540111.080919983	NULL	NULL
13,2 kV	736.0	2641201.7095760508	6540186.016319579	NULL	NULL
13,2 kV	737.0	2641414.6826305757	6540368.078470899	NULL	NULL
13,2 kV	738.0	2641474.528296628	6540445.652236492	NULL	NULL
13,2 kV	739.0	2641448.576306065	6540540.7046992285	NULL	NULL
13,2 kV	740.0	2641429.4050129973	6540621.861402417	NULL	NULL
13,2 kV	741.0	2641420.9115067516	6540668.104669654	NULL	NULL
13,2 kV	742.0	2641410.1348676244	6540704.063508497	NULL	NULL
13,2 kV	743.0	2641376.4058041596	6540739.003875142	NULL	NULL
13,2 kV	744.0	2641409.688500849	6540834.371800516	NULL	NULL
13,2 kV	745.0	2640194.351149477	6539093.309162363	NULL	NULL
13,2 kV	746.0	2640251.0968106403	6539175.621308323	NULL	NULL
13,2 kV	747.0	2640311.757686755	6539222.143078705	NULL	NULL
13,2 kV	748.0	2640416.921056641	6539302.815367045	NULL	NULL
13,2 kV	749.0	2640513.156101349	6539382.21478727	NULL	NULL
13,2 kV	750.0	2640638.1524165655	6539428.2083455995	NULL	NULL
13,2 kV	751.0	2640696.337007241	6539453.798745633	NULL	NULL
13,2 kV	752.0	2640734.8248399002	6539543.204277302	NULL	NULL
13,2 kV	753.0	2639955.829861923	6538320.197096435	NULL	NULL
13,2 kV	754.0	2639928.0248109447	6538284.5451709395	NULL	NULL
13,2 kV	755.0	2639906.8606467266	6538262.09311277	NULL	NULL
13,2 kV	756.0	2639889.9991199938	6538224.750497691	NULL	NULL
13,2 kV	757.0	2639867.1128972946	6538206.80901679	NULL	NULL
13,2 kV	758.0	2639829.9286090983	6538205.485377439	NULL	NULL
13,2 kV	759.0	2639781.485319536	6538157.581280701	NULL	NULL
13,2 kV	760.0	2639766.691982597	6538118.471018166	NULL	NULL
13,2 kV	761.0	2639697.4141298966	6537971.8258796185	NULL	NULL
13,2 kV	762.0	2639645.294714455	6537878.424453234	NULL	NULL
13,2 kV	763.0	2639602.645645023	6537827.583330628	Fusible	Cerrado
13,2 kV	764.0	2567343.031475538	6498049.0805017995	Cuchilla	Cerrado
13,2 kV	765.0	2567339.630111303	6498030.3709099395	Interruptor	Cerrado
13,2 kV	766.0	2566502.601908534	6498227.941957778	NULL	NULL
13,2 kV	767.0	2566820.4426153745	6498160.830247096	NULL	NULL
13,2 kV	768.0	2566101.9288920453	6498307.84183625	NULL	NULL
13,2 kV	769.0	2566103.415800375	6498315.666780726	Fusible	Cerrado
13,2 kV	770.0	2566129.4262102046	6498433.460621538	NULL	NULL
13,2 kV	771.0	2566186.433034121	6498709.762979578	NULL	NULL
13,2 kV	772.0	2565740.4672920206	6499704.9719967805	Reconectador	Cerrado
13,2 kV	773.0	2565580.7336581363	6498934.311151762	NULL	NULL
13,2 kV	774.0	2564849.150942438	6498571.74508696	Cuchilla	Cerrado
13,2 kV	775.0	2565171.091253227	6498506.321006476	NULL	NULL
13,2 kV	776.0	2565467.7194172004	6498440.280111585	NULL	NULL
13,2 kV	777.0	2564821.0133377505	6498578.391369708	NULL	NULL
13,2 kV	778.0	2565073.734543616	6499777.265000659	Cuchilla	Abierto
13,2 kV	779.0	2564950.281591557	6499212.319510165	NULL	NULL
13,2 kV	780.0	2564813.6384534296	6498544.711006901	Reconectador	Cerrado
