id,latitud,longitud
53,-31.662248711493547,-68.27991717873917
55,-31.663434692095503,-68.27787561690012
56,-31.663395645437408,-68.27812538288377
59,-31.665949290347502,-68.27599970582577
63,-31.662683355131303,-68.27547449314893
65,-31.661551774360625,-68.27524458665029
67,-31.657120236492386,-68.27792043477636
68,-31.658255122323528,-68.27824920343853
69,-31.65943007237795,-68.27851585904368
70,-31.657406800144273,-68.28046562949635
71,-31.655875191042963,-68.28012924397139
72,-31.654470905362874,-68.27980873787969
73,-31.65460820606694,-68.27914870201252
74,-31.657781419953302,-68.28055450925334
75,-31.65929243202858,-68.28089552751118
76,-31.656382804706386,-68.2824779347796
78,-31.6549219272814,-68.28391874009355
79,-31.65098135374703,-68.28118511221044
122,-31.65037801155101,-68.28104790325357
81,-31.645862731025495,-68.28000647673035
136,-31.65173953484302,-68.28134910253924
82,-31.651635358990585,-68.28132656836786
83,-31.659460413193987,-68.26839734081625
86,-31.645774816491837,-68.28019491756267
87,-31.645371516041074,-68.27977184499817
124,-31.639893835647715,-68.27839311362229
127,-31.636660884726044,-68.27771265452637
90,-31.636947424388218,-68.27778481792605
92,-31.645528379951237,-68.2798767135148
96,-31.657437873330142,-68.2827256926524
97,-31.658055890696225,-68.2828720020302
98,-31.65641536752403,-68.28995885083728
102,-31.656124644958012,-68.28936613493673
121,-31.65498254409295,-68.28215093766374
118,-31.642845962249314,-68.2793065076524
106,-31.660571217322687,-68.262927352019
107,-31.65714352178994,-68.2829248474436
108,-31.66470220296299,-68.27268075269687
109,-31.66298118169226,-68.27367710301544
126,-31.639110504529953,-68.27833123443641
110,-31.639082049881537,-68.27847947440439
128,-31.635445122388504,-68.27740647649398
111,-31.634210406551595,-68.27709553380332
112,-31.636913842176014,-68.27796103918271
129,-31.638402805629877,-68.27815226031332
113,-31.638379164587832,-68.27828274876234
133,-31.635400959275753,-68.27764492731733
117,-31.63464753298349,-68.28164088331326
114,-31.634195000031625,-68.28407755460523
